w_ptmo,label,t,A_true,B_true,P_true,A_noisy,B_noisy,X_true
0.05,5% PTMO,5.384615384615384,0.07280644606265009,0.05580644606265008,0.024193553937349913,0.06871534264648273,0.06626838244107738,0.2494180818283496
0.05,5% PTMO,5.418060200668896,0.07269792189147121,0.05569792189147122,0.02430207810852878,0.0676678349839727,0.04962697882753256,0.2505368877167916
0.05,5% PTMO,5.4515050167224075,0.07258976989680684,0.055589769896806834,0.02441023010319316,0.07838032426430717,0.05954808336662151,0.2516518567339502
0.05,5% PTMO,5.48494983277592,0.07248198818346083,0.055481988183460826,0.024518011816539176,0.0756025872687216,0.05862371572978223,0.25276300841792965
0.05,5% PTMO,5.518394648829431,0.07237457487052062,0.055374574870520624,0.024625425129479378,0.07231334100628606,0.05088830301309147,0.2538703621595812
0.05,5% PTMO,5.551839464882943,0.07226752807304684,0.05526752807304683,0.024732471926953166,0.07264655086401547,0.05188171951548627,0.25497393739126967
0.05,5% PTMO,5.585284280936454,0.07216084591054359,0.055160845910543585,0.02483915408945641,0.07703644457763234,0.05442555900303289,0.2560737534995507
0.05,5% PTMO,5.618729096989966,0.07205452654160334,0.05505452654160334,0.024945473458396657,0.06792704055764079,0.05344759733333837,0.2571698294680068
0.05,5% PTMO,5.652173913043478,0.07194856813619561,0.054948568136195614,0.025051431863804385,0.07401322540757374,0.05212994537217574,0.25826218416293184
0.05,5% PTMO,5.68561872909699,0.07184296887538562,0.05484296887538561,0.025157031124614385,0.06773186689755346,0.05606140493284517,0.25935083633623074
0.05,5% PTMO,5.719063545150502,0.07173772695133425,0.05473772695133424,0.025262273048665754,0.07296255980687787,0.05220301107447859,0.26043580462542015
0.05,5% PTMO,5.752508361204013,0.07163284056729811,0.0546328405672981,0.025367159432701892,0.0692776490392065,0.05579309025408628,0.2615171075536277
0.05,5% PTMO,5.785953177257525,0.07152830793762949,0.05452830793762947,0.02547169206237052,0.06428788623014287,0.0474909890657467,0.26259476352959293
0.05,5% PTMO,5.8193979933110365,0.07142412728777636,0.05442412728777635,0.025575872712223648,0.06783190618151418,0.05335689152921711,0.26366879084766637
0.05,5% PTMO,5.852842809364549,0.0713202968542824,0.05432029685428239,0.025679703145717606,0.07287483468227242,0.06169707793903015,0.26473920768781034
0.05,5% PTMO,5.88628762541806,0.07121681488478698,0.05421681488478697,0.025783185115213023,0.07550511300079708,0.05341712223496983,0.2658060321155981
0.05,5% PTMO,5.919732441471572,0.07111367963802516,0.054113679638025144,0.025886320361974847,0.07101859859851171,0.0491010328148361,0.2668692820822149
0.05,5% PTMO,5.953177257525083,0.07101088938382769,0.05401088938382768,0.025989110616172317,0.07091832370386573,0.05256759618922698,0.26792897542445687
0.05,5% PTMO,5.986622073578595,0.07090844240312101,0.053908442403120996,0.026091557596878995,0.07252203520481146,0.04977228768535938,0.2689851298647319
0.05,5% PTMO,6.020066889632107,0.07080633698792727,0.05380633698792726,0.026193663012072738,0.07340306955913313,0.061470031552940146,0.27003776301105914
0.05,5% PTMO,6.053511705685619,0.07070457144136429,0.05370457144136428,0.026295428558635713,0.07016077069908,0.05571313005185899,0.27108689235706923
0.05,5% PTMO,6.08695652173913,0.0706031440776456,0.0536031440776456,0.026396855922354398,0.07405386403620116,0.05159704171821641,0.2721325352820041
0.05,5% PTMO,6.120401337792642,0.07050205322208042,0.05350205322208041,0.02649794677791958,0.0716225156311325,0.05356501522598939,0.27317470905071733
0.05,5% PTMO,6.153846153846153,0.07040129721107366,0.05340129721107365,0.026598702788926343,0.07088967770381782,0.04953624829179632,0.2742134308136736
0.05,5% PTMO,6.187290969899665,0.07030087439212591,0.053300874392125906,0.026699125607874092,0.07042342526342063,0.055790865848353154,0.27524871760694936
0.05,5% PTMO,6.220735785953177,0.07020078312383349,0.05320078312383347,0.026799216876166522,0.0774565011628087,0.057997137254259507,0.2762805863522321
0.05,5% PTMO,6.254180602006689,0.07010102177588835,0.053101021775888345,0.026898978224111653,0.08086693406344614,0.049264283961448094,0.27730905385682114
0.05,5% PTMO,6.2876254180602,0.0700015887290782,0.053001588729078196,0.0269984112709218,0.07436319191268159,0.053918298757769954,0.2783341368136268
0.05,5% PTMO,6.321070234113712,0.06990248237528641,0.05290248237528641,0.027097517624713588,0.08085149704137477,0.04886099094851065,0.279355851801171
0.05,5% PTMO,6.354515050167223,0.06980370111749205,0.052803701117492045,0.027196298882507953,0.06560509190658817,0.049806737890271936,0.2803742152835871
0.05,5% PTMO,6.3879598662207355,0.06970524336976987,0.05270524336976986,0.027294756630230135,0.05908576474822083,0.05007646826136605,0.28138924361061995
0.05,5% PTMO,6.421404682274247,0.06960710755729033,0.05260710755729032,0.02739289244270968,0.06581144424952183,0.05335907648967136,0.2824009530176255
0.05,5% PTMO,6.454849498327759,0.06950929211631957,0.05250929211631955,0.027490707883680444,0.07121807199520536,0.06189014631239898,0.2834093596255715
0.05,5% PTMO,6.488294314381271,0.06941179549421941,0.052411795494219406,0.02758820450578059,0.07416391468514967,0.04952727721590739,0.284414479441037
0.05,5% PTMO,6.521739130434782,0.06931461614944742,0.05231461614944741,0.027685383850552584,0.06482254279270563,0.05477421200697993,0.28541632835621217
0.05,5% PTMO,6.555183946488294,0.06921775255136675,0.05221775255136674,0.027782247448633248,0.06261658651626353,0.06137504638063851,0.28641492215085823
0.05,5% PTMO,6.588628762541806,0.06912120315605678,0.05212120315605678,0.027878796843943215,0.07501840375966322,0.04977532489553326,0.2874102767416827
0.05,5% PTMO,6.622073578595318,0.06902496643743124,0.052024966437431236,0.027975033562568762,0.06045929379197685,0.0587943283082583,0.28840240786153365
0.05,5% PTMO,6.655518394648829,0.06892904089541753,0.05192904089541752,0.028070959104582478,0.06835634166915444,0.05811812245528483,0.289391330975077
0.05,5% PTMO,6.688963210702341,0.06883342503852169,0.05183342503852168,0.028166574961478313,0.06086128674454985,0.04883654992375282,0.2903770614585393
